,title,artist,count,year
0,Lose Control,Teddy Swims,43,2024
1,Stick Season,Noah Kahan,40,2024
2,Beautiful Things,Benson Boone,39,2024
3,Houdini,Dua Lipa,37,2024
4,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,35,2024
5,Saturn,SZA,34,2024
6,Feather,Sabrina Carpenter,34,2024
7,Austin,Dasha,32,2024
8,Lovin On Me,Jack Harlow,32,2024
9,Too Sweet,Hozier,30,2024
10,Like That,"Future, Metro Boomin & Kendrick Lamar",30,2024
11,Wind Up Missin' You,Tucker Wetmore,29,2024
12,Slow It Down,Benson Boone,29,2024
13,"Good Luck, Babe!",Chappell Roan,28,2024
14,Greedy,Tate McRae,28,2024
15,A Bar Song (Tipsy),Shaboozey,27,2024
16,Espresso,Sabrina Carpenter,27,2024
17,Gata Only,FloyyMenor X Cris Mj,26,2024
18,Agora Hills,Doja Cat,26,2024
19,I Can Do It With A Broken Heart,Taylor Swift,26,2024
20,Wild Ones,Jessie Murph & Jelly Roll,26,2024
21,Yeah Glo!,GloRilla,25,2024
22,Million Dollar Baby,Tommy Richman,25,2024
23,Wanna Be,GloRilla & Megan Thee Stallion,24,2024
24,Miles On It,Marshmello & Kane Brown,24,2024
25,We Can't Be Friends (Wait For Your Love),Ariana Grande,24,2024
26,Not Like Us,Kendrick Lamar,24,2024
27,Cowgirls,Morgan Wallen Featuring ERNEST,24,2024
28,I Had Some Help,Post Malone Featuring Morgan Wallen,23,2024
29,FE!N,Travis Scott Featuring Playboi Carti,23,2024
30,Belong Together,Mark Ambor,23,2024
31,Stargazing,Myles Smith,23,2024
32,Scared To Start,Michael Marcagi,23,2024
33,Think I'm In Love With You,Chris Stapleton,22,2024
34,Made For Me,Muni Long,22,2024
35,Ain't No Love In Oklahoma,Luke Combs,22,2024
36,Wildflower,Billie Eilish,22,2024
37,Where It Ends,Bailey Zimmerman,22,2024
38,Birds Of A Feather,Billie Eilish,22,2024
39,Pink Skies,Zach Bryan,21,2024
40,Cruel Summer,Taylor Swift,21,2024
41,End Of Beginning,Djo,21,2024
42,Get It Sexyy,Sexyy Red,20,2024
43,Hot To Go!,Chappell Roan,20,2024
44,Bulletproof,Nate Smith,20,2024
45,Wine Into Whiskey,Tucker Wetmore,20,2024
46,Si No Quieres No,Luis R Conriquez x Neton Vega,20,2024
47,Whatever She Wants,Bryson Tiller,20,2024
48,Fortnight,Taylor Swift Featuring Post Malone,20,2024
49,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",20,2024
50,Chihiro,Billie Eilish,20,2024
51,One Of Wun,Gunna,20,2024
52,Never Lose Me,Flo Milli,20,2024
53,Lunch,Billie Eilish,20,2024
54,Dirt Cheap,Cody Johnson,20,2024
55,The Boy Is Mine,Ariana Grande,20,2024
56,23,Chayce Beckham,20,2024
57,The Door,Teddy Swims,20,2024
58,Act II: Date @ 8,4Batz,20,2024
59,Texas Hold 'Em,Beyonce,20,2024
60,Spin You Around (1/24),Morgan Wallen,20,2024
61,I Like The Way You Kiss Me,Artemas,20,2024
62,Get In With Me,BossMan Dlow,20,2024
63,Redrum,21 Savage,20,2024
64,Red Wine Supernova,Chappell Roan,20,2024
65,Beautiful As You,Thomas Rhett,19,2024
66,360,Charli XCX,19,2024
67,High Road,Koe Wetzel & Jessie Murph,19,2024
68,Mmhmm,BigXthaPlug,19,2024
69,Carnival,¥$: Kanye West & Ty Dolla $ign,19,2024
70,Please Please Please,Sabrina Carpenter,19,2024
71,One Of The Girls,"The Weeknd, JENNIE & Lily Rose Depp",19,2024
72,La Diabla,Xavi,19,2024
73,Nights Like This,Future & Metro Boomin,18,2024
74,Pink Pony Club,Chappell Roan,18,2024
75,Everybody,Nicki Minaj Featuring Lil Uzi Vert,18,2024
76,Fast Car,Luke Combs,18,2024
77,Illusion,Dua Lipa,18,2024
78,We Ride,Bryan Martin,18,2024
79,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,18,2024
80,Bandit,Don Toliver,18,2024
81,I Am Not Okay,Jelly Roll,18,2024
82,FTCU,Nicki Minaj,18,2024
83,Si Antes Te Hubiera Conocido,Karol G,17,2024
84,TGIF,GloRilla,17,2024
85,Chevrolet,Dustin Lynch Featuring Jelly Roll,17,2024
86,Paint The Town Red,Doja Cat,17,2024
87,BAND4BAND,Central Cee & Lil Baby,17,2024
88,Kehlani,Jordan Adetunji,17,2024
89,Water,Tyla,17,2024
90,U My Everything,Sexyy Red & Drake,17,2024
91,You Look Like You Love Me,Ella Langley Featuring Riley Green,17,2024
92,Where The Wild Things Are,Luke Combs,17,2024
93,Pour Me A Drink,Post Malone Featuring Blake Shelton,17,2024
94,Man Made A Bar,Morgan Wallen Featuring Eric Church,17,2024
95,Euphoria,Kendrick Lamar,16,2024
96,Snooze,SZA,16,2024
97,Burn It Down,Parker McCollum,16,2024
98,Casual,Chappell Roan,16,2024
99,Mamushi,Megan Thee Stallion Featuring Yuki Chiba,16,2024
